year,month,day,max,min,avg,precip,norm.avg,norm.precip
2021,2,11,-5.638,-18.958,-12.298,0,13.13,0.02
2021,2,12,-7.96,-24.772,-16.366,0,13.42,0.02
2021,2,13,-6.502,-22.882,-14.692,0,13.75,0.03
2021,2,14,-9.814,-24.934,-17.374,0,14.08,0.02
2021,2,15,-2.488,-29.092,-15.79,0,14.41,0.03
2021,2,16,3.434,-22.468,-9.517,0,14.79,0.02
2021,2,17,7.61,-10.408,-1.399,0,15.15,0.02
2021,2,18,11.282,-2.578,4.352,0,15.54,0.02
2021,2,19,17.6,-11.758,2.921,0,15.92,0.03
2021,2,20,21.654,-8.104,6.775,0,16.31,0.03
2021,2,21,31.084,11.012,21.048,0,16.72,0.03
2021,2,22,40.892,18.423,29.658,0,17.16,0.03
2021,2,23,38.851,24.078,31.465,0,17.56,0.03
2021,2,24,32.151,18.333,25.242,0,18,0.03
2021,2,25,36.133,12.344,24.239,0,18.45,0.03
2021,2,26,39.441,29.772,34.607,0,18.88,0.03
2021,2,27,32.794,21.954,27.374,0,19.36,0.03
2021,2,28,29.946,15.098,22.522,0,19.8,0.03
2021,3,1,19.321,1.454,10.388,0,20.28,0.03
2021,3,2,47.228,18.896,33.062,0,20.75,0.03
2021,3,3,43.887,30.553,37.22,0,21.25,0.03
2021,3,4,44.202,30.137,37.17,0,21.75,0.04
2021,3,5,44.838,26.35,35.594,0,22.21,0.04
2021,3,6,46.222,25.187,35.705,0,22.7,0.03
2021,3,7,58.982,33.818,46.4,0,23.21,0.03
2021,3,8,56.408,29.386,42.897,0,23.7,0.04
2021,3,9,60.332,38.088,49.21,0,24.2,0.04
2021,3,10,39.7,31.557,35.629,0,24.7,0.04
2021,3,11,34.605,25.651,30.128,0,25.19,0.04
2021,3,12,39.411,17.402,28.407,0,25.7,0.04
2021,3,13,53.582,29.536,41.559,0,26.22,0.04
2021,3,14,43.45,29.093,36.272,0,26.73,0.04
2021,3,15,30.875,24.589,27.732,0,27.21,0.04
2021,3,16,30.747,26.163,28.455,0,27.69,0.04
2021,3,17,39.758,27.183,33.471,0,28.2,0.05
2021,3,18,48.542,26.649,37.596,0,28.71,0.05
2021,3,19,48.902,24.337,36.62,0,29.22,0.05
2021,3,20,54.374,35.503,44.939,0,29.71,0.05
2021,3,21,54.32,35.415,44.868,0,30.21,0.05
2021,3,22,52.826,30.366,41.596,0,30.7,0.05
2021,3,23,42.571,35.928,39.25,0,31.2,0.05
2021,3,24,44.488,28.373,36.431,0,31.67,0.05
2021,3,25,49.91,23.317,36.614,0,32.16,0.05
2021,3,26,45.484,23.635,34.56,0,32.66,0.05
2021,3,27,41.902,32.067,36.985,0,33.12,0.05
2021,3,28,43.518,24.845,34.182,0,33.6,0.06
2021,3,29,77.324,33.237,55.281,0,34.11,0.06
2021,3,30,35.092,24.661,29.877,0,34.57,0.06
2021,3,31,31.19,17.402,24.296,0,35.04,0.06
2021,4,1,45.543,12.56,29.052,0,35.52,0.06
2021,4,2,63.518,32.902,48.21,0,36.01,0.07
2021,4,3,67.226,33.165,50.196,0,36.48,0.07
2021,4,4,75.218,35.645,55.432,0,36.93,0.07
2021,4,5,81.122,40.433,60.778,0,37.42,0.07
2021,4,6,57.65,41.623,49.637,0.76,37.89,0.07
2021,4,7,46.76,43.133,44.947,1.411,38.34,0.07
2021,4,8,49.028,42.769,45.899,0.27,38.79,0.07
2021,4,9,46.4,39.106,42.753,0.56,39.26,0.07
2021,4,10,50.666,32.662,41.664,0,39.75,0.07
2021,4,11,49.73,30.027,39.879,0,40.2,0.07
2021,4,12,43.565,29.347,36.456,0.07,40.64,0.08
2021,4,13,32.067,25.227,28.647,0.01,41.12,0.08
2021,4,14,42.39,26.672,34.531,0.01,41.58,0.08
