exp,site,plot_code,trt_code,program,line,count_0.5m_1,count_0.5m_2,vis_rating
VAR23,Waseca,3402,7,MN,1803,,,
VAR23,Waseca,3403,8,MN,1901,,,
VAR23,Waseca,3404,18,TLI,801,,,
VAR23,Waseca,3405,19,TLI,704,,,
VAR23,Waseca,3406,17,TLI,701,,,
VAR23,Waseca,3407,9,MN,1902,,,
VAR23,Waseca,3408,1,MN,1504,,,
VAR23,Waseca,3409,14,MN,2202,,,
VAR23,Waseca,3410,12,MN,1905,,,
VAR23,Waseca,3411,3,MN,1605,,,
VAR23,Waseca,3412,10,MN,1903,,,
VAR23,Waseca,3413,20,TLI,1001,,,
VAR23,Waseca,3414,6,MN,1802,,,
VAR23,Waseca,3415,13,MN,2201,,,
VAR23,Waseca,3416,5,MN,2206,,,
VAR23,Waseca,3417,16,MN,2204,,,
VAR23,Waseca,3418,4,MN,2205,,,
VAR23,Waseca,3419,11,MN,1904,,,
VAR23,Waseca,3420,2,MN,1603,,,
